지식등록법령조문일련번호,지식등록법령일련번호,시행일자,조문번호,조문가지번호,조문제목,등록여부,법령지식조문일련번호,조문일련번호
136933,1966,2008-01-01,0003,00,산입할 보수의 기준,Y,136933,25397521
136903,1959,2008-01-01,0022,00,경고,Y,136903,18139802
136901,1959,2008-01-01,0027,00,벌칙,Y,136901,18054825
136899,1959,2008-01-01,0004,00,보안관찰처분,Y,136899,17974512
136890,1955,2008-01-01,0010,00,證據調査에 관한 特則,Y,136890,28893634
136889,1955,2008-01-01,0009,00,審理節次上의 特則,Y,136889,28893650
136888,1955,2008-01-01,0008,00,訴訟代理에 관한 特則,Y,136888,28893649
136887,1955,2008-01-01,0007,00,기일지정 등,Y,136887,28893632
136934,1966,2008-01-01,0006,00,재량에 의한 조정,Y,136934,25397502
136886,1955,2008-01-01,0011,00,調書의 記載省略,Y,136886,28893635
136936,1967,2008-01-01,0006,00,가족관계등록부의 작성,Y,136936,23676871
136900,1959,2008-01-01,0019,00,지도,Y,136900,18139799
136902,1959,2008-01-01,0023,00,행정소송,Y,136902,18054821
150538,8383,2008-01-01,0013,00,공동소송참가,Y,150538,18324482
150530,8380,2008-01-01,0007,00,등기공고의 유예기간,Y,150530,18230538
150537,8383,2008-01-01,0009,00,소송허가신청서부본의 송달,Y,150537,18320701
136935,1966,2008-01-01,0005,00,보수의 감액,Y,136935,25397523
150529,8379,2008-03-14,0003,00,분사무소의 등기사항,Y,150529,28861191
136958,1969,2008-03-21,0067,00,공제사업,Y,136958,28858654
136959,1969,2008-03-21,0026,00,손해배상 책임,Y,136959,28858609
137011,1975,2008-03-22,0012,00,가족관계등록부의 작성,Y,137011,23150247
137012,1975,2008-03-22,0002,00,정의,Y,137012,23150216
150539,8384,2008-04-18,0002,00,기능,Y,150539,17549708
150552,8392,2008-07-01,0025,00,비용예납,Y,150552,30136945
136994,1972,2008-09-22,0003,00,집회 및 시위에 대한 방해 금지,Y,136994,23322926
137009,1972,2008-09-22,0020,00,집회 또는 시위의 해산,Y,137009,23322941
137007,1972,2008-09-22,0016,00,주최자의 준수 사항,Y,137007,23322933
137005,1972,2008-09-22,0014,00,확성기등 사용의 제한,Y,137005,23322932
137003,1972,2008-09-22,0012,00,교통 소통을 위한 제한,Y,137003,23322938
137002,1972,2008-09-22,0011,00,옥외집회와 시위의 금지 장소,Y,137002,23322937
137000,1972,2008-09-22,0009,00,집회 및 시위의 금지 통고에 대한 이의 신청 등,Y,137000,23322930
136998,1972,2008-09-22,0007,00,신고서의 보완 등,Y,136998,23322915
136997,1972,2008-09-22,0006,00,옥외집회 및 시위의 신고 등,Y,136997,23322928
136995,1972,2008-09-22,0004,00,특정인 참가의 배제,Y,136995,23322914
137006,1972,2008-09-22,0015,00,적용의 배제,Y,137006,23322939
136993,1972,2008-09-22,0002,00,정의,Y,136993,23322913
136992,1972,2008-09-22,0024,00,벌칙,Y,136992,23322957
136991,1972,2008-09-22,0023,00,벌칙,Y,136991,23322943
136990,1972,2008-09-22,0022,00,벌칙,Y,136990,23322942
136989,1972,2008-09-22,0018,00,참가자의 준수 사항,Y,136989,23322940
136988,1972,2008-09-22,0019,00,경찰관의 출입,Y,136988,23322935
137008,1972,2008-09-22,0017,00,질서유지인의 준수 사항 등,Y,137008,23322934
137004,1972,2008-09-22,0013,00,질서유지선의 설정,Y,137004,23322931
137001,1972,2008-09-22,0010,00,옥외집회와 시위의 금지 시간,Y,137001,23322916
136999,1972,2008-09-22,0008,00,집회 및 시위의 금지 또는 제한 통고,Y,136999,23322929
136996,1972,2008-09-22,0005,00,집회 및 시위의 금지,Y,136996,23322927
136927,1965,2008-10-14,0018,00,발인제의 식순 등,Y,136927,23563050
136929,1965,2008-10-14,0015,00,상제,Y,136929,23563028
136931,1965,2008-10-14,0017,00,운구,Y,136931,23563049
136924,1965,2008-10-14,0010,00,발인제,Y,136924,23563024
136922,1965,2008-10-14,0002,00,정의,Y,136922,23563040
136923,1965,2008-10-14,0009,00,상례,Y,136923,23563023
136925,1965,2008-10-14,0011,00,위령제,Y,136925,23563047
