번호,법령명,조문명
40,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제3조 기본계획의 중요사항 변경
41,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제5조의3 자료 조회 요청
42,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 4., 타법개정]",제14조 퇴직공제금 등의 계산방법
43,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 5., 타법개정]",제17조 업무의 대행
44,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제9조 진폐심사의사
45,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제16조 제5장 보칙
46,"공무원의 노동조합 설립 및 운영 등에 관한 법률 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제3조 교섭요구서의 제출
47,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제19조 조합 해산의 보고
48,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제21조 사내근로복지기금법인 설립인가 등
49,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제29조의3 준용
50,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조의2 임금비용의 구분지급 및 확인 대상 건설공사
51,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제8조 퇴직공제의 가입 등
52,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제16조 퇴직공제금 수령의 위임
53,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조 
54,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제12조의4 제3장 건강관리
55,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제18조 제6장 벌칙
56,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제2조 생활안정자금의 융자
57,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제14조 우리사주매수선택권의 행사가격 산정을 위한 평가가격
58,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제26조의2 수혜범위 확대의 기준
59,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 4., 타법개정]",제33조 업무 처리규정
60,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제5조 공제사업의 실시
61,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제12조 공제부금
62,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제1조 목적
63,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제12조 수당 등
64,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제14조 진폐의 예방과 진폐근로자 보호 사업
65,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제7조 민간복지시설 이용비용의 지원
66,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제10조 
67,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제24조 사내근로복지기금협의회의 간사
68,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 4., 타법개정]",제34조 규제의 재검토
69,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제4조 고용 관련 편의시설 설치 등의 의무 건설공사의 규모
70,"건설근로자의 고용개선 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제7조 공제회의 승인기준
71,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 1., 타법개정]",제2조 적용 범위
72,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 2., 타법개정]",제12조의2 
73,"진폐의 예방과 진폐근로자의 보호 등에 관한 법률 시행령[시행2025. 10. 1.] [대통령령 제35805호,2025. 10. 3., 타법개정]",제17조의2 민감정보 및 고유식별정보의 처리
74,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 1., 타법개정]",제4조 신용보증 대상 융자사업 및 근로자
75,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 2., 타법개정]",제17조 우리사주의 인출
76,"근로복지기본법 시행규칙[시행2025. 10. 1.] [고용노동부령 제453호,2025. 10. 3., 타법개정]",제28조 해산
