일상용어 일련번호,일상용어,비고내용,출처,등록일시,수정일시
170777,성과표,,,2023-02-27,
170779,측량좌표계,,,2023-02-27,
170781,38도선,,,2023-02-27,
170783,해발고도,,,2023-02-27,
170785,측량기준점표지,,,2023-02-27,2023-02-27
170787,지적기준점,,,2023-02-27,2023-09-20
170789,직교좌표계,,,2023-02-27,
170791,작각자리표계,,,2023-02-27,
170793,측량업정보종합관리시스템,,,2023-02-27,
170795,측량업정보,,,2023-02-27,
170797,측량분야,,,2023-02-27,
170799,지적분야,,,2023-02-27,
170801,업종변경신고,,,2023-02-27,2023-02-27
170803,측량용역,,,2023-02-27,
170805,한국공간정보산업협회,,,2023-02-27,
170807,보관법,,,2023-02-27,
170811,입력항목,,,2023-02-27,2023-05-28
170813,요청순서,,,2023-02-27,
170815,제공자료,,,2023-02-27,
170817,활용법,,,2023-02-27,
170819,기술자능력평가,,,2023-02-27,2023-02-27
170821,수행실적평가,,,2023-02-27,2023-02-27
170823,신용도평가,,,2023-02-27,2023-02-27
170825,사업수행실적,,,2023-02-27,2023-03-06
170827,처리실적,,,2023-02-27,2023-06-05
170831,지리,,,2023-02-27,2023-08-06
170833,수시조사,,,2023-02-27,2023-02-27
170835,감독비,,,2023-02-27,
170839,감독경비,,,2023-02-27,
170841,감리경비,,,2023-02-27,
170843,감독업무수행,,,2023-02-27,
170845,감독직무수행,,,2023-02-27,2023-02-27
170847,자동차운행허가시스템,,,2023-02-27,
170849,비적정,,,2023-02-27,
170851,전용차로통행자동차,,,2023-02-27,
170853,전용차로통행가능차,,,2023-02-27,
170855,기초설계,,,2023-02-27,
170857,배속,,,2023-02-27,
170859,시행공고,,,2023-02-27,
170865,이행상태검사,,,2023-02-27,
170867,이행점검,,,2023-02-27,2023-07-26
170869,이행확인,,,2023-02-27,
170871,이행확인검사,,,2023-02-27,
170873,시공상태검사,,,2023-02-27,
170875,기성금,,,2023-02-27,
170879,정기조사,,,2023-02-27,
170881,요청내용,,,2023-02-27,2023-08-06
170883,교통조사가이드,,,2023-02-27,
170885,하자검사기록,,,2023-02-27,
170887,하자검사서,,,2023-02-27,
170889,추진상태,,,2023-02-27,2023-02-27
170891,교통조사서,,,2023-02-27,
170893,하자진단조서,,,2023-02-27,
170895,교통조사문서,,,2023-02-27,
170897,협의안건,,,2023-02-27,
170899,교통AI빅데이터플랫폼,,,2023-02-27,
170901,T-DATA,,,2023-02-27,
170903,씨디,,,2023-02-27,
170905,발생유무,,,2023-02-27,
170907,조정중단기간,,,2023-02-27,
170909,조정중지기간,,,2023-02-27,
170911,긴급사고,,,2023-02-27,
170913,조정기간,,,2023-02-27,
170915,대응방법,,,2023-02-27,2023-07-27
170917,무빙,,,2023-02-27,
170919,임금률,,,2023-02-27,
170921,임률,,,2023-02-27,
170923,렉카,,,2023-02-27,2023-09-17
170925,연계교통시스템구축계획,,,2023-02-27,
170927,임금단가표,,,2023-02-27,
170929,노임단가,,,2023-02-27,
170933,보수단가,,,2023-02-27,
170935,건축기간,,,2023-02-27,
170937,하위계획,,,2023-02-27,
170939,감소액,,,2023-02-27,2023-05-27
170941,경감액,,,2023-02-27,2023-05-27
170943,절약액,,,2023-02-27,
170945,민간지원,,,2023-02-27,
170947,연계교통시설,,,2023-02-27,
170949,광역교통사업,,,2023-02-27,
170951,연결교통사업,,,2023-02-27,
170953,포함대상,,,2023-02-27,
170955,포함항목,,,2023-02-27,
170957,단행,,,2023-02-27,
170961,실시구역,,,2023-02-27,
170963,검토항목,,,2023-02-27,
170965,공작물공사,,,2023-02-27,
170967,다리공사,,,2023-02-27,
170969,터널공사,,,2023-02-27,
170971,자오선,,,2023-02-27,2023-02-27
170973,적도선,,,2023-02-27,
170975,일련공사,,,2023-02-27,
170977,복합환승지원시설,,,2023-02-27,
170979,공간정보산업진흥원,,,2023-02-27,
170981,기본측량성과검증,,,2023-02-27,
170983,승인요청서,,,2023-02-27,2023-07-19
170985,씨짐승,,,2023-02-27,
170987,일꾼,,,2023-02-27,
170989,환지요청서,,,2023-02-27,
170991,보상공지,,,2023-02-27,2023-02-27
170993,전문조직,,,2023-02-27,2023-05-29
170995,보상공시,,,2023-02-27,2023-02-27
170997,보상내용,,,2023-02-27,
170999,기본측량성과검증기관,,,2023-02-27,
171001,완료부분,,,2023-02-27,
171003,브이월드,,,2023-02-27,
171005,대규모공사계약,,,2023-02-27,
171007,지정순서,,,2023-02-27,2023-03-19
171009,묘목재배,,,2023-02-27,2023-08-09
171011,복합환승센터관리시설,,,2023-02-27,
171013,복합환승센터담당기관,,,2023-02-27,
171015,훈련장,,,2023-02-27,
171017,군용통신시설,,,2023-02-27,
171019,정산금액,,,2023-02-27,
171021,지탱,,,2023-02-27,
171023,처분제한항목,,,2023-02-27,
171025,처분제한사항,,,2023-02-27,
171027,복합환승센터입주회사,,,2023-02-27,
171031,복합환승센터입주기업,,,2023-02-27,
171033,환승지원,,,2023-02-27,
171035,평회원,,,2023-02-27,
171037,징수날짜,,,2023-02-27,
171039,시범사업평가,,,2023-02-27,
171041,시범사업평가원,,,2023-02-27,
171043,시범사업심사단,,,2023-02-27,
171045,금액점수,,,2023-02-27,
171047,지자체계약분쟁,,,2023-02-27,
171049,산정결과,,,2023-02-27,
171051,산정내역,,,2023-02-27,
171053,성능평가기관,,,2023-02-27,
171055,성능평가전문기관,,,2023-02-27,
171057,교통정보제공업체,,,2023-02-27,
171059,교통정보제공회사,,,2023-02-27,
171061,디지털지도,,,2023-02-27,
171063,국제협력담당기관,,,2023-02-27,
171065,동고선,,,2023-02-27,
171067,국제협력전문기관,,,2023-02-27,
171069,수평곡선,,,2023-02-27,
171071,국가교통정보센터,,,2023-02-27,
171073,산자부,,,2023-02-27,
171075,NIS,,,2023-02-27,
171077,국가교통기술,,,2023-02-27,
171079,국가교통기술구축,,,2023-02-27,
171081,국가교통기술연구,,,2023-02-27,
171083,표준화담당기관,,,2023-02-27,
171085,표준화전문기관,,,2023-02-27,
171087,방풍장치,,,2023-02-27,
171089,바람막이시설,,,2023-02-27,
171091,산림생태시설,,,2023-02-27,
171093,산림체험장,,,2023-02-27,
171095,산림교육기관,,,2023-02-27,2023-05-21
171097,지하시설물도면,,,2023-02-27,
171099,도로망지도,,,2023-02-27,
171101,공중사진,,,2023-02-27,
171103,지상사진,,,2023-02-27,
171105,위성관측영상,,,2023-02-27,
171107,지속과제,,,2023-02-27,
171109,색각이상,,,2023-02-27,
171111,색맹,,,2023-02-27,
171113,연속과제,,,2023-02-27,
171115,유저,,,2023-02-27,
171117,협약기한,,,2023-02-27,
171119,위치현황,,,2023-02-27,
171121,지하건축물,,,2023-02-27,
171123,한번에,,,2023-02-27,
171125,지방공사계약,,,2023-02-27,
171129,지방물품계약,,,2023-02-27,
171131,지방용역계약,,,2023-02-27,
171133,지방자치단체계약,,,2023-02-27,
171135,국가계약,,,2023-02-27,
171137,계약성과보고,,,2023-02-27,
171139,계약보고,,,2023-02-27,
171141,계약내역보고,,,2023-02-27,
171143,이용요청,,,2023-02-27,
171145,평가요청서,,,2023-02-27,
171147,진행보고서,,,2023-02-27,
171149,절대평가,,,2023-02-27,
171151,상대평가,,,2023-02-27,
171153,평가신청서류,,,2023-02-27,
171155,수용범위,,,2023-02-27,
171157,수치지적부,,,2023-02-27,
171159,기술점수,,,2023-02-27,
171161,지적기능자,,,2023-02-27,
171163,지적측량수행자,,,2023-02-27,
171165,지적측량기술자,,,2023-02-27,
171167,측량도면,,,2023-02-27,
171169,규제기간,,,2023-02-27,2023-04-29
171171,한계기간,,,2023-02-27,
171173,지형측량,,,2023-02-27,2023-02-27
171175,지물측량,,,2023-02-27,2023-02-27
171177,조사측량,,,2023-02-27,
171179,하천측량,,,2023-02-27,
171181,댐측량,,,2023-02-27,
171183,금액조정,,,2023-02-27,2023-05-18
171187,위성영상,,,2023-02-27,2023-05-03
171189,항공사진도화업,,,2023-02-27,
171191,연안조사측량,,,2023-02-27,
171193,공간영상정보,,,2023-02-27,
171195,좌표측량,,,2023-02-27,
171197,영상판독,,,2023-02-27,
171199,정사사진지도제작,,,2023-02-27,
171201,입체영상지도제작,,,2023-02-27,
171203,지리조사,,,2023-02-27,
171205,지형공간정보,,,2023-02-27,
171207,지도책자,,,2023-02-27,
171209,기본측량,,,2023-02-27,
171211,국가기준점,,,2023-02-27,
171213,지적측량업등록부,,,2023-02-27,
171215,2단계입찰,,,2023-02-27,2023-02-27
171217,등록회복,,,2023-02-27,2023-03-02
171219,손해배상합의문,,,2023-02-27,
171221,본등록,,,2023-02-27,2023-02-27
171223,주등록,,,2023-02-27,
171225,시청각학습,,,2023-02-27,
171227,특수교통안전교육,,,2023-02-27,
171231,을구사항,,,2023-02-27,
171233,유료도로관리권등록부,,,2023-02-27,2023-02-27
171237,갑구사항,,,2023-02-27,
171239,등록번호칸,,,2023-02-27,
171241,을구사항칸,,,2023-02-27,
171243,갑구사항칸,,,2023-02-27,
171245,손해배상합의각서,,,2023-02-27,
171247,순위번호칸,,,2023-02-27,
171249,순위번호,,,2023-02-27,2023-08-09
171251,뒷면,,,2023-02-27,2023-07-16
171253,편철장부,,,2023-02-27,2023-03-19
171257,구등록부,,,2023-02-27,
171259,신등록부,,,2023-02-27,
171261,같은가격입찰,,,2023-02-27,
171263,동일금액입찰,,,2023-02-27,
171265,본번,,,2023-02-27,
171267,부번,,,2023-02-27,
171269,인접대지,,,2023-02-27,
171271,지번설정,,,2023-02-27,
171275,보호울타리,,,2023-02-27,
171277,등록원인,,,2023-02-27,2023-03-20
171279,등록원인증명,,,2023-02-27,
171281,등록원인서류,,,2023-02-27,
171283,등록원인서면,,,2023-02-27,
171285,날림공사,,,2023-02-27,
171287,분할계약,,,2023-02-27,
171289,미배당,,,2023-02-27,
171291,미배분,,,2023-02-27,
171293,지출한도액,,,2023-02-27,
171295,신청서접수장부,,,2023-02-27,
171297,신청서보관장부,,,2023-02-27,
171299,각도,,,2023-02-27,2023-08-08
171301,표시칸,,,2023-02-27,
171303,표기란,,,2023-02-27,
171305,번호칸,,,2023-02-27,
171307,사항칸,,,2023-02-27,
171309,지평좌표,,,2023-02-27,
171311,턴키입찰,,,2023-02-27,
171313,복구방법,,,2023-02-27,
171315,계속공사,,,2023-02-27,
171317,제척원인,,,2023-02-27,
171319,토지개량사업,,,2023-02-27,
171321,토지정리작업,,,2023-02-27,
171323,토지구획정리,,,2023-02-27,
171325,통합계약,,,2023-02-27,
171327,토목사업,,,2023-02-27,2023-05-07
171329,도로변경,,,2023-02-27,2023-04-17
171331,간접사용,,,2023-02-27,
171333,직접이용,,,2023-02-27,2023-02-27
171335,실시공고,,,2023-02-27,
171337,이행공고,,,2023-02-27,
171339,축척변경방법,,,2023-02-27,
171341,차수별계약,,,2023-02-27,
171343,연차별계약,,,2023-02-27,
171345,어업권등록,,,2023-02-27,
171347,축척변경측량결과도,,,2023-02-27,
171349,면적계산방법,,,2023-02-27,2023-08-18
171351,입어등록,,,2023-02-27,
171353,지번마다,,,2023-02-27,
171355,정착도움,,,2023-02-27,
171357,등록용지,,,2023-02-27,2023-02-27
171359,추가등록용지,,,2023-02-27,
171361,구등록용지,,,2023-02-27,
171363,국가재정정보,,,2023-02-27,
171365,보충용지,,,2023-02-27,
171367,일신보호,,,2023-02-27,
171369,입금요구,,,2023-02-27,
171371,시간선택제근무공무원,,,2023-02-27,
171373,다시신청,,,2023-02-27,
171375,운전기능시험,,,2023-02-27,
171377,디지털채점기,,,2023-02-27,
171379,입국협상,,,2023-02-27,
171381,임시신분증서,,,2023-02-27,
171383,도로주행면허시험,,,2023-02-27,
171385,도로운전시험,,,2023-02-27,
171387,토지이동정리,,,2023-02-27,
171389,토지이동결의서,,,2023-02-27,
171391,공유수면매립사업,,,2023-02-27,
171393,해안매립사업,,,2023-02-27,
171395,공공택지조성,,,2023-02-27,
171397,국토지리정보원,,,2023-02-27,2023-02-27
171399,중앙지명위원회,,,2023-02-27,
171401,시도지명위원회,,,2023-02-27,
171403,시군구지명위원회,,,2023-02-27,
171405,사용한도,,,2023-02-27,2023-04-21
171407,측각기기,,,2023-02-27,
171409,농사자금,,,2023-02-27,
171411,수준의,,,2023-02-27,
171413,수준기,,,2023-02-27,
171415,기능학습,,,2023-02-27,
171417,장내기능교육,,,2023-02-27,
171419,도로운전교육,,,2023-02-27,
171421,거리측정,,,2023-02-27,
171423,전자파거리측정기,,,2023-02-27,
171425,정착자금,,,2023-02-27,2023-02-27
171427,보전시설,,,2023-02-27,2023-04-12
171429,전자시거측량기,,,2023-02-27,
171431,전자식측거측각기,,,2023-02-27,
171433,신변보안,,,2023-02-27,
171435,탈북민지원,,,2023-02-27,
171437,금속탐지기,,,2023-02-27,2023-05-18
171439,혁신플랜,,,2023-02-27,
171441,환경예견,,,2023-02-27,
171443,국가기준점측량표지,,,2023-02-27,
171445,직권신청,,,2023-02-27,
171447,측량성과심사,,,2023-02-27,
171449,공간정보품질관리원,,,2023-02-27,
171451,기술요금,,,2023-02-27,2023-02-27
171453,접수차례,,,2023-02-27,2023-07-29
171455,인증제품,,,2023-02-27,
171457,조회청구,,,2023-02-27,
171459,의무등록자,,,2023-02-27,
171461,명의등록인,,,2023-02-27,
171463,등록명의자,,,2023-02-27,
171465,등록명의,,,2023-02-27,
171469,산업기술인적자원,,,2023-02-27,
171471,촉탁서류,,,2023-02-27,
171473,연구기구관리,,,2023-02-27,
171475,산업저변,,,2023-02-27,
171477,기술저변,,,2023-02-27,
171481,가등록,,,2023-02-27,2023-05-01
171483,북남,,,2023-02-27,
171485,산업기술협업,,,2023-02-27,
171487,등록촉탁,,,2023-02-27,
171489,편철증명서,,,2023-02-27,
171491,편철확인,,,2023-02-27,
171493,편철인증서,,,2023-02-27,
171495,편철필증,,,2023-02-27,
171497,등록인증서,,,2023-02-27,
171499,말단,,,2023-02-27,
171501,끄트머리,,,2023-02-27,
171503,이기,,,2023-02-27,
171505,실전교육,,,2023-02-27,
171507,일부이동,,,2023-02-27,
171509,등록서면,,,2023-02-27,
171511,물상보증인,,,2023-02-27,
171513,전부양도,,,2023-02-27,
171515,일괄양도,,,2023-02-27,
171517,담보등록,,,2023-02-27,
171519,공동담보내역,,,2023-02-27,
171521,공동담보항목,,,2023-02-27,
171523,승낙서류,,,2023-02-27,
171525,등록위반,,,2023-02-27,
171527,등록오류,,,2023-02-27,
171529,대리계약관,,,2023-02-27,
171531,분임계약관,,,2023-02-27,
171533,대리분임계약관,,,2023-02-27,
171535,인사명령서,,,2023-02-27,2023-02-27
171537,손량,,,2023-02-27,
171539,바네사르체제,,,2023-02-27,
171541,핵공급그룹,,,2023-02-27,
171543,미사일기술통제체제,,,2023-02-27,
171545,오스트레일리아그룹,,,2023-02-27,
171547,전략물자차단,,,2023-02-27,
171549,생산용기계장치,,,2023-02-27,
171551,난해,,,2023-02-27,2023-07-29
171553,복잡,,,2023-02-27,
171555,자유무역제한조치,,,2023-02-27,
171557,관세장벽,,,2023-02-27,
171559,비관세장벽,,,2023-02-27,
171561,취학아동리스트,,,2023-02-27,
171563,입학아동명부,,,2023-02-27,
171565,급여제도,,,2023-02-27,
171567,취학연기,,,2023-02-27,
171569,입학유예,,,2023-02-27,
171571,입학연장,,,2023-02-27,
171573,증액기간,,,2023-02-27,
171575,삭감기간,,,2023-02-27,
171577,결근,,,2023-02-27,2023-03-01
171579,결석기간,,,2023-02-27,
171581,편입응모서,,,2023-02-27,
171583,무단결근,,,2023-02-27,2023-04-11
171585,조기취학신청서,,,2023-02-27,
171587,공석수,,,2023-02-27,
171589,입학신청서,,,2023-02-27,
171591,겸직기관,,,2023-02-27,
171593,조기취학대상자,,,2023-02-27,
171595,승선예비역,,,2023-02-27,
171597,이름리스트,,,2023-02-27,
171599,이름장부,,,2023-02-27,
171601,등급제,,,2023-02-27,
171603,고정임금,,,2023-02-27,
171605,국민학생,,,2023-02-27,
171607,고정급,,,2023-02-27,
171609,예비군대원,,,2023-02-27,
171611,본봉,,,2023-02-27,2023-04-16
171613,초등입학,,,2023-02-27,
171615,입교일,,,2023-02-27,
171617,입학일시,,,2023-02-27,
171619,업무수당,,,2023-02-27,
171621,입학허가자리스트,,,2023-02-27,
171623,입학승인자목록,,,2023-02-27,
171625,근면수당,,,2023-02-27,
171627,통학편리,,,2023-02-27,
171629,통학편익,,,2023-02-27,
171631,입학통지,,,2023-02-27,
171633,경찰사무,,,2023-02-27,2023-04-15
171635,근속가급,,,2023-02-27,
171637,선발예비군,,,2023-02-27,
171639,선출계획,,,2023-02-27,
171641,소집기한,,,2023-02-27,
171643,훈련일정,,,2023-02-27,
171645,기준급여,,,2023-02-27,
171647,기준급,,,2023-02-27,
171649,직무급여,,,2023-02-27,2023-02-27
171651,무휴,,,2023-02-27,
171653,임금지급방법,,,2023-02-27,
171655,월급지급방법,,,2023-02-27,
171657,총임금액,,,2023-02-27,2023-05-31
171659,임금지급기관,,,2023-02-27,
171661,상급직위,,,2023-02-27,2023-07-26
171663,연봉최고액,,,2023-02-27,
171665,직무성과급,,,2023-02-27,2023-02-27
171667,승진후보자명부,,,2023-02-27,2023-07-12
171669,승진요건,,,2023-02-27,
171671,승격조건,,,2023-02-27,
171673,승진제도,,,2023-02-27,2023-06-07
171675,승진실시시기,,,2023-02-27,
171677,승진시행시기,,,2023-02-27,
171679,소요연수,,,2023-02-27,
171681,승진기간,,,2023-02-27,
171683,진급기간,,,2023-02-27,
171685,승진제한,,,2023-02-27,
171687,진급제한,,,2023-02-27,
171689,진급심사,,,2023-02-27,2023-04-13
171691,진급일,,,2023-02-27,
171693,세칙,,,2023-02-27,2023-05-04
171695,업무과업,,,2023-02-27,
171697,월급조정,,,2023-02-27,
171699,보수조정,,,2023-02-27,
171701,보수지급,,,2023-02-27,2023-09-04
171703,연봉산정,,,2023-02-27,
171705,재확정,,,2023-02-27,
171707,경력조회,,,2023-02-27,
171709,정기승진일,,,2023-02-27,
171711,지급일정표,,,2023-02-27,
171713,문책기간,,,2023-02-27,
171715,신임호봉,,,2023-02-27,
171717,초급호봉,,,2023-02-27,
171719,신임호봉표,,,2023-02-27,
171721,초급호봉표,,,2023-02-27,
171723,호봉표,,,2023-02-27,
171725,봉급표,,,2023-02-27,
171727,최저급,,,2023-02-27,
171729,임용일,,,2023-02-27,2023-05-03
171731,발령통지서,,,2023-02-27,
171733,재정증권,,,2023-02-28,
171735,기술적보호조치,,,2023-02-28,
171737,기술적조치,,,2023-02-28,
171739,재개보고,,,2023-02-28,
171741,재개사실전달,,,2023-02-28,
171743,지도작성,,,2023-02-28,
171745,송부자,,,2023-02-28,
171747,지도구축,,,2023-02-28,
171749,공중촬영,,,2023-02-28,
171751,일반측량용역,,,2023-02-28,
171753,기본측량용역,,,2023-02-28,
171755,공공측량용역,,,2023-02-28,
171757,등록설정,,,2023-02-28,
171759,질권등록,,,2023-02-28,
171761,영수증명,,,2023-02-28,2023-02-28
171763,증명통지서,,,2023-02-28,
171765,접수장부,,,2023-02-28,2023-07-14
171767,등록접수,,,2023-02-28,
171769,등록접수장부,,,2023-02-28,
171771,양식업권등록장부,,,2023-02-28,
171773,사항작성란,,,2023-02-28,
171775,표시작성란,,,2023-02-28,
171777,등록이유,,,2023-02-28,2023-03-20
171779,총대리점,,,2023-02-28,
171781,수도시설전력설비,,,2023-02-28,
171783,수변전설비,,,2023-02-28,
171785,전력인프라,,,2023-02-28,
171787,교통지도,,,2023-02-28,
171789,박학다식,,,2023-02-28,
171791,토지정보,,,2023-02-28,
171793,고지판,,,2023-02-28,2023-07-30
171795,인터넷게시판,,,2023-02-28,
171797,친족독립경영법인,,,2023-02-28,
171799,친족분리,,,2023-02-28,
171801,간접생산비,,,2023-02-28,2023-03-10
171803,공통비용,,,2023-02-28,2023-09-11
171805,공개사무,,,2023-02-28,2023-05-01
171807,공표업무,,,2023-02-28,
171809,기관장보좌,,,2023-03-01,
171811,캠퍼스시설,,,2023-03-01,
171813,기반시설단지,,,2023-03-01,
171815,논의안건,,,2023-03-01,
171817,회의날짜,,,2023-03-01,
171819,입주형식,,,2023-03-01,
171821,입주방법,,,2023-03-01,
171823,평가자단체,,,2023-03-01,
171825,평가자그룹,,,2023-03-01,
171827,평가위원,,,2023-03-01,2023-09-18
171829,수습공무원,,,2023-03-01,
171831,현지자원,,,2023-03-01,
171833,공개채용,,,2023-03-01,2023-03-30
171835,등록기재란,,,2023-03-01,
171837,임대사업부지,,,2023-03-01,
171839,녹지조성,,,2023-03-01,2023-03-21
171841,토탈,,,2023-03-01,
171843,회복등록,,,2023-03-01,2023-03-20
171845,추세,,,2023-03-01,2023-06-07
171847,등록권리,,,2023-03-01,
171849,편철,,,2023-03-01,2023-08-10
171851,지속기간,,,2023-03-01,
171853,인사발령서,,,2023-03-01,
171855,전역명령서,,,2023-03-01,
171857,소집해제명령서,,,2023-03-01,
171859,보통우편,,,2023-03-01,2023-09-03
171861,신상변화,,,2023-03-01,
171863,신상변경,,,2023-03-01,
171867,구성기준,,,2023-03-01,
171869,업무배제,,,2023-03-01,
171871,직무제외,,,2023-03-01,
171873,예비군관리운영,,,2023-03-01,
171875,경종,,,2023-03-01,2023-05-03
171877,작전동원명령서,,,2023-03-01,
171879,경험칙,,,2023-03-01,
171881,논리칙,,,2023-03-01,
171883,상환손해,,,2023-03-01,
171885,취학장려,,,2023-03-01,
171887,취학권유,,,2023-03-01,
171889,취학의무자,,,2023-03-01,
171893,보류서류,,,2023-03-01,
171895,연기서류,,,2023-03-01,
171897,수가,,,2023-03-01,
171899,집합통지,,,2023-03-01,
171901,소집통보,,,2023-03-01,
171903,소집안내,,,2023-03-01,
171905,물품관리자,,,2023-03-01,
171907,견장,,,2023-03-01,2023-03-01
171909,흉장,,,2023-03-01,2023-03-01
171911,모표,,,2023-03-01,2023-03-01
171913,예비군모자,,,2023-03-01,
171915,군모,,,2023-03-01,
171917,표지장,,,2023-03-01,
171919,군화,,,2023-03-01,
171921,군복,,,2023-03-01,2023-05-19
171925,야전상의,,,2023-03-01,
171923,법제,,,2023-03-01,2023-09-18
171927,야전점퍼,,,2023-03-01,
171929,근무복,,,2023-03-01,2023-09-08
171931,지역방어,,,2023-03-01,2023-09-18
171933,착의방법,,,2023-03-01,
171935,착복방법,,,2023-03-01,
171937,손해증명서,,,2023-03-01,
171939,손실확인서,,,2023-03-01,
171941,지불신청서,,,2023-03-01,
171943,보상심사,,,2023-03-01,
171945,사고보상금,,,2023-03-01,
171947,지급과정,,,2023-03-01,2023-06-08
171949,진료기록지,,,2023-03-01,2023-03-28
171951,진료내역서,,,2023-03-01,2023-04-17
171953,휴업여부,,,2023-03-01,
171957,소지금지,,,2023-03-01,
171959,소지불허품목,,,2023-03-01,
171961,상이군경,,,2023-03-01,2023-03-01
171963,의사소견서,,,2023-03-01,2023-03-01
171965,상해자,,,2023-03-01,
171967,사설의료기관,,,2023-03-01,
171969,명세표,,,2023-03-01,2023-09-21
171973,지급통보,,,2023-03-01,
171975,민경채,,,2023-03-01,2023-03-01
171977,민간경력채용,,,2023-03-01,2023-03-01
171979,실비보상,,,2023-03-01,
171981,매식비,,,2023-03-01,
171983,대사행위,,,2023-03-01,
171985,군대운영비,,,2023-03-01,
171987,징계행위,,,2023-03-01,
171989,부대유지비,,,2023-03-01,
171991,군기,,,2023-03-01,2023-06-07
171993,예비군대,,,2023-03-01,
171995,규율위반,,,2023-03-01,
171997,예비군중대,,,2023-03-01,
171999,정규감사,,,2023-03-01,
172001,견습기간,,,2023-03-01,
172003,수시감사,,,2023-03-01,2023-05-19
172005,징계진행,,,2023-03-01,
172007,징계실행,,,2023-03-01,
172011,비상업무담당자,,,2023-03-01,
172013,특식,,,2023-03-01,
172015,특별배식,,,2023-03-01,
172017,풀밭,,,2023-03-01,
172019,면회승인,,,2023-03-01,
172021,면회허락,,,2023-03-01,
172023,작전동원,,,2023-03-01,
172025,집합시간,,,2023-03-01,
172027,소집시간,,,2023-03-01,2023-05-27
172029,변경시설,,,2023-03-01,
172031,개조시설,,,2023-03-01,
172033,밭집,,,2023-03-01,2023-03-01
172035,촌서,,,2023-03-01,
172037,심사서,,,2023-03-01,2023-09-01
172039,소년관리기록,,,2023-03-01,
172041,전보권한,,,2023-03-01,
172043,법무연수,,,2023-03-01,
172047,인성발달,,,2023-03-01,
172049,발달상황,,,2023-03-01,
172051,인사교류,,,2023-03-01,2023-07-17
172053,전학예정학교,,,2023-03-01,
172055,편입학예정학교,,,2023-03-01,
172057,특수직렬,,,2023-03-01,
172059,지원약정,,,2023-03-01,
172061,공동체인식,,,2023-03-01,
172063,퇴원증명,,,2023-03-01,2023-07-24
172065,수사기록,,,2023-03-01,
172067,접수상황,,,2023-03-01,
172069,접수상태,,,2023-03-01,2023-07-21
172071,전통사찰보존지구,,,2023-03-01,
172073,탐색시설,,,2023-03-01,
172075,조사시설,,,2023-03-01,
172077,심각,,,2023-03-01,
172079,굴채,,,2023-03-01,2023-05-18
172081,전기통신시설,,,2023-03-01,2023-03-07
172083,이의신청시기,,,2023-03-01,
172085,지역인,,,2023-03-01,
172087,보호나무,,,2023-03-01,2023-09-20
172089,늙은나무,,,2023-03-01,
172091,노수,,,2023-03-01,
172093,희귀나무,,,2023-03-01,
172095,큰나무,,,2023-03-01,
172097,거수,,,2023-03-01,
172099,국가테러대책위원회,,,2023-03-01,
172101,테러예방,,,2023-03-01,2023-03-01
172105,테러대응,,,2023-03-01,2023-07-26
172107,테러대책협의회,,,2023-03-01,
172109,테러전담조직,,,2023-03-01,2023-03-01
172111,대책협의회,,,2023-03-01,2023-05-01
172113,대처활동,,,2023-03-01,
172115,화생방테러상황,,,2023-03-01,
172117,특수임무대,,,2023-03-01,
172119,CRST,,,2023-03-01,
172123,대테러진압작업,,,2023-03-01,
172127,대테러특임대,,,2023-03-01,
172129,테러자료,,,2023-03-01,
172131,테러데이터,,,2023-03-01,
172133,사건검토,,,2023-03-01,
172135,사건해석,,,2023-03-01,
172137,사고분석,,,2023-03-01,
172139,사태분석,,,2023-03-01,
172141,사후처리방법,,,2023-03-01,
172143,사후처리대책,,,2023-03-01,
172147,사후대책,,,2023-03-01,2023-04-17
172149,사후처리계획,,,2023-03-01,
172151,제보,,,2023-03-01,
172153,테러사태,,,2023-03-01,
172155,조치방법,,,2023-03-01,2023-07-20
172157,긴급피난,,,2023-03-01,
172159,국가중요시설,,,2023-03-01,2023-06-05
172161,국가안보시설,,,2023-03-01,
172163,국가주요행사,,,2023-03-01,
172165,대테러안전대책기구,,,2023-03-01,
172167,사전차단,,,2023-03-01,
172169,테러취약분야,,,2023-03-01,
172171,테러취약요소,,,2023-03-01,
172173,테러위험요소,,,2023-03-01,
172175,테러대비활동,,,2023-03-01,
172177,지원유무,,,2023-03-01,
172179,지원가능,,,2023-03-01,
172181,지원불가능,,,2023-03-01,2023-04-14
172183,피신고자,,,2023-03-01,2023-05-12
172185,제보자,,,2023-03-01,2023-09-15
172187,신청과정,,,2023-03-01,
172189,신청순서,,,2023-03-01,
172191,공소연기,,,2023-03-01,
172193,공소유예,,,2023-03-01,
172195,공소유보,,,2023-03-01,
172197,주민등록전산정보데이터,,,2023-03-01,
172199,보류자,,,2023-03-01,
172201,지급유무,,,2023-03-01,
172203,연장자,,,2023-03-01,
172205,지불여부,,,2023-03-01,
172207,유보자,,,2023-03-01,
172209,결정통지문,,,2023-03-01,
172211,지급철회,,,2023-03-01,2023-03-01
172213,학생자립활동,,,2023-03-01,
172215,지급무산,,,2023-03-01,
172217,지급확정,,,2023-03-01,
172219,테러활동,,,2023-03-01,
172221,테러사건,,,2023-03-01,
172223,개과,,,2023-03-01,
172225,일정시기,,,2023-03-01,
172227,재류,,,2023-03-01,
172229,장학관아래직급,,,2023-03-01,
172231,과세조정,,,2023-03-01,
172233,제척이유,,,2023-03-01,
