일상용어 일련번호,일상용어,비고내용,출처,등록일시,수정일시
153591,이주비용,,,2023-01-09,2023-09-06
153593,최저시급,,,2023-01-09,
153595,공증사무,,,2023-01-09,
153597,연도별지역계획,,,2023-01-09,
153599,사잇도장,,,2023-01-09,2023-08-03
153601,벌점제,,,2023-01-09,
153605,인증심의업무,,,2023-01-09,
153607,범죄방지대책,,,2023-01-09,
153609,지명취소,,,2023-01-09,
153611,주민회의,,,2023-01-09,
153613,BOP,,,2023-01-09,
153615,경상수지,,,2023-01-09,
153617,땅임자,,,2023-01-09,
153619,토주,토주(土主) 땅의 주인,,2023-01-09,2023-01-09
153621,영주,영주(領主) 토지의 소유자,,2023-01-09,2023-01-09
153623,지노위,,,2023-01-09,2023-04-26
153625,률,다른 수나 양에 대한 어떤 수나 양의 비,,2023-01-09,
153627,일괄납부,,,2023-01-09,2023-07-21
153629,마지막보고서,,,2023-01-09,
153631,진행목표,,,2023-01-09,
153633,계상한계,,,2023-01-09,
153635,계상정도,,,2023-01-09,
153637,계상표준,,,2023-01-09,
153639,실시권능,,,2023-01-09,
153641,공개이용,,,2023-01-09,
153643,저명인사,,,2023-01-09,
153645,명사,,,2023-01-09,
153647,지명인사,,,2023-01-09,
153649,가급,,,2023-01-10,2023-06-11
153651,증급,,,2023-01-10,
153653,고비,,,2023-01-10,
153655,계선,,,2023-01-10,2023-07-10
153657,주말농장,,,2023-01-10,2023-01-14
153659,주말농원,,,2023-01-10,
153661,인력비,,,2023-01-10,
153663,고조선,,,2023-01-10,
153665,간조선,,,2023-01-10,
153667,곡선,,,2023-01-10,2023-08-09
153669,세출액,,,2023-01-10,2023-08-10
153671,세입액,,,2023-01-10,
153673,이웃나라,,,2023-01-10,
153675,초기,,,2023-01-10,2023-01-26
153677,용의,,,2023-01-10,
153679,검문검색,,,2023-01-10,2023-01-29
153681,징역살이,,,2023-01-10,
153683,위관계급,,,2023-01-10,
153685,추가복무,,,2023-01-10,
153687,사과후,,,2023-01-10,
153689,군예절,,,2023-01-10,2023-01-10
153691,군격식,,,2023-01-10,
153693,국방대학,,,2023-01-10,
153695,국방장관,,,2023-01-10,
153697,국방대학원,,,2023-01-10,2023-01-10
153699,상부조직,,,2023-01-10,
153701,교육경비,,,2023-01-10,2023-05-16
153703,변제책임,,,2023-01-10,
153705,서베이,사람들의 의견을 조사하기 위하여 같은 질문을 여러 사람에게 물어 회답을 구하는 일. 또는 그런 조사 방법.,,2023-01-10,2023-02-14
153707,적격사유,,,2023-01-10,
153709,공상자,교육ㆍ훈련 또는 그 밖의 공무로 인하여 상이를 입은 사람,,2023-01-10,
153711,납입액,,,2023-01-10,2023-04-30
153713,응모,,,2023-01-10,2023-03-21
153715,선거취임,,,2023-01-10,
153717,국회동의,,,2023-01-10,
153719,중앙관공서,,,2023-01-10,
153721,소청심사위원회,,,2023-01-10,2023-07-20
153723,승격시험,,,2023-01-10,
153725,기원물질,,,2023-01-10,
153727,자연서식지내보존,,,2023-01-10,
153729,자연서식지외보존,,,2023-01-10,
153731,구매신청,,,2023-01-11,2023-09-14
153733,매입신청,,,2023-01-11,
153735,3심제도,,,2023-01-11,
153737,전문대,,,2023-01-11,
153739,사이버강의,,,2023-01-11,2023-04-03
153741,싸강,,,2023-01-11,
153743,강제교육,,,2023-01-11,
153745,교수용구,,,2023-01-11,
153747,시골학교,,,2023-01-11,
153749,전원학교,,,2023-01-11,
153751,도서벽지수당,,,2023-01-11,2023-01-11
153753,전투복,,,2023-01-11,
153755,휴대,,,2023-01-11,2023-07-23
153759,진작,,,2023-01-11,
153761,관리단체,,,2023-01-11,
153763,예산오버,,,2023-01-11,
153765,동일비율,,,2023-01-11,
153767,불입일,,,2023-01-11,
153769,승낙일,,,2023-01-11,2023-03-16
153771,R&D사업,,,2023-01-11,2023-05-01
153773,공소기각판결,,,2023-01-11,
153775,입각,,,2023-01-11,
153777,사회관념,,,2023-01-11,
153779,견적가,,,2023-01-11,2023-02-26
153781,납부명령서,,,2023-01-11,
153783,우선취득권,,,2023-01-11,
153785,소제기권,,,2023-01-11,
153787,틀림,,,2023-01-11,
153789,통계지표,,,2023-01-11,2023-05-03
153791,통계자료,,,2023-01-11,2023-09-16
153793,글로벌진출,,,2023-01-11,
153795,글로벌시장진출,,,2023-01-11,2023-01-11
153797,공민,,,2023-01-12,
153799,불필요,,,2023-01-12,2023-07-19
153801,바이닐,,,2023-01-12,
153803,가라오케,,,2023-01-12,2023-08-17
153805,뮤직비디오,,,2023-01-12,
153807,음악콘텐츠,,,2023-01-12,
153811,함유,,,2023-01-12,
153813,메이킹,,,2023-01-12,
153815,번창,,,2023-01-12,
153817,진척,,,2023-01-12,2023-07-17
153819,다용도,,,2023-01-12,2023-05-30
153821,커뮤니티,,,2023-01-12,2023-04-30
153823,코스트,,,2023-01-12,2023-01-24
153825,건실화,,,2023-01-12,
153827,응원경찰공무원,,,2023-01-12,
153829,파견경찰공무원,,,2023-01-12,
153831,위험방지시설기준,,,2023-01-12,
153833,재난대비시설기준,,,2023-01-12,
153835,기동대장,,,2023-01-12,2023-01-12
153837,기틀,,,2023-01-12,2023-03-13
153839,확립신고,,,2023-01-12,
153841,개도,,,2023-01-12,
153843,피보험지위,,,2023-01-12,
153845,소책자,,,2023-01-12,
153847,뮤직페스티벌,,,2023-01-12,
153849,뮤직쇼,,,2023-01-12,
153851,기본보육과정,,,2023-01-12,
153853,불법카피,,,2023-01-12,
153855,짝퉁,,,2023-01-12,
153857,미수습,,,2023-01-12,
153859,안위,,,2023-01-12,
153861,상대적기재사항,,,2023-01-12,
153863,임의적기재사항,,,2023-01-12,
153865,어린이집안전공제회,,,2023-01-12,
153867,학교안전공제회,,,2023-01-12,
153869,평화보전활동,,,2023-01-12,
153871,평화보존활동,,,2023-01-12,
153873,SUV,,,2023-01-12,
153875,CUV,,,2023-01-12,
153877,MPV,,,2023-01-12,
153879,RV,,,2023-01-12,
153881,방편,,,2023-01-12,
153883,필수경비,,,2023-01-12,2023-04-03
153885,사업자등록증,,,2023-01-12,2023-09-21
153887,출범,,,2023-01-12,
153889,차원,,,2023-01-12,
153891,대한체육회가맹법인,,,2023-01-12,
153893,생활체육활동모임,,,2023-01-12,
153895,수정계획서,,,2023-01-12,
153897,자격검사계획,,,2023-01-12,
153899,자격검정기관,,,2023-01-12,2023-03-06
153901,체육분야,,,2023-01-12,
153905,선수운동경기,,,2023-01-12,
153907,노역장유치명령,,,2023-01-12,
153909,형사피고인,,,2023-01-12,2023-04-18
153911,유골,,,2023-01-13,2023-04-17
153913,적대적,,,2023-01-13,
153915,청년전세임대주택,,,2023-01-13,
153917,갱신거부,,,2023-01-13,
153919,부정의약물,,,2023-01-13,
153921,무면허의사,,,2023-01-13,
153923,전직기본교육,,,2023-01-13,
153925,전역예정장병,,,2023-01-13,2023-04-09
153927,유통문화,,,2023-01-13,
153933,유독물질,,,2023-01-13,
153935,여수순천반란사건,,,2023-01-13,
153937,14연대반란사건,,,2023-01-13,2023-01-13
153939,군사반란사건,,,2023-01-13,
153941,디지털기기,,,2023-01-13,
153943,위원회구성원,,,2023-01-13,
153945,합성천연가스제조업,,,2023-01-13,
153947,업무조율,,,2023-01-13,
153949,LNG냉열이용자,,,2023-01-13,
153951,무독성농약,,,2023-01-13,
153953,공급범위,,,2023-01-13,2023-03-17
153955,자격검사,,,2023-01-13,2023-02-22
153957,소주주,,,2023-01-13,2023-03-12
153959,대주주자격유지요건,,,2023-01-13,
153961,공평화,,,2023-01-13,
153963,일괄관리,,,2023-01-13,2023-02-28
153965,타율성,,,2023-01-13,
153967,감리사무,,,2023-01-13,
153969,자산상태,,,2023-01-13,
153971,언론인,,,2023-01-13,
153973,고속,,,2023-01-13,2023-08-23
153975,불특정인,,,2023-01-13,
153977,잠수선박,,,2023-01-13,
153979,가이드,,,2023-01-13,2023-07-09
153981,광고시안,,,2023-01-13,
153983,언어폭력,,,2023-01-13,
153985,절충,,,2023-01-13,2023-08-05
153987,리서치,,,2023-01-13,2023-03-31
153989,공동수역,,,2023-01-13,
153991,예초기,,,2023-01-13,
153993,경정경기장,,,2023-01-13,
153995,운용사무,,,2023-01-13,2023-01-13
153997,미납처분,,,2023-01-13,
153999,감축계획,,,2023-01-13,2023-08-21
154001,영문,,,2023-01-13,2023-08-04
154003,오랜시간,,,2023-01-13,
154005,부정기적,,,2023-01-13,2023-02-27
154007,정례적,,,2023-01-13,
